Chinese,Fitted
"小猫","kitten"
"方糖","sugar cube"
"不良姿势","bad posture"
"待售","for sale"
"温带雨林","temperate rainforest"
"卡泼卫勒舞","capoeira"
"新生意","new business"
"蜂王","queen bee"
"划船机","rowing machine"
"中国灯笼","Chinese lantern"
"身体活动","physical activity"
"日历日期","calendar date"
"呼叫中心","Call Center"
"瓶中信","Message in a bottle"
"手推餐车","Push cart"
"西班牙香肠","chorizo"
"虚拟现实","Virtual Reality"
"磨砂玻璃","frosted glass"
"社交聚会","social gathering"
"极端地形","extreme terrain"
"低温生物学","Cryobiology"
"电子阅读器","e-reader"
"手放在兜里","hands in pockets"
"非都市风光","non-urban scene"
"剪贴路径","clipping path"
"微缩火车","miniature train"
"药物滥用","substance abuse"
"黑市","black market"
"医用氧气设备","Medical oxygen equipment"
"萨克斯手","saxophonist"
"舞者","dancer"
"马戏团演员","circus performer"
"婴儿杯","baby cup"
"安防设备","Security equipment"
"矢量","Vector"
"病媒","Vector"
"钩针编织品","Crochet"
"钩编","crochet"
"钩针","Crochet"
"上车","boarding"
"科技","science and technology"
"妄想狂","Paranoia"
"英国货币","british currency"
"意大利货币","italian currency"
"美国货币","us currency"
"欧盟货币","european union currency"
"运动跑道","sports track"
"金字塔形","pyramid shape"
"欧洲货币","european currency"
"掀背车","hatchback"
"开垦地","reclaimed land"
"环绕立体声","surround sound"
"冰碛","Moraine"
"吹雪机","snowblower"
"小型贵宾犬","miniature poodle"
"蜡笔画","crayon drawing"
"唇环","lip ring"
"巴拿马草帽","panama hat"
"多毛的","hairy"
"水晶玻璃器皿","crystal glassware"
"一把","handful"
"望远镜","telescope"
"天文望远镜","telescope"
"电话工作者","telephone worker"
"宠物食品","pet food"
"奶油汤","cream soup"
"公路隧道","road tunnel"
"明暗法","chiaroscuro"
"医疗建筑","medical building"
"Soul Patch","Soul Patch"
"折叠椅","folding chair"
"酒瓶","wine bottle"
"邮筒","mailbox"
"鹰鳐","eagle ray"
"马尔他犬","maltese dog"
"卡拉OK","Karaoke"
"瑜珈班","yoga class"
"史芬克斯无毛猫","Sphynx hairless cat"
"女性单身派对","bachelorette party"
"眼罩","eye mask"
"铸造工厂","Foundry"
"画框","picture frame"
"滑雪坡","ski slope"
"人造珠宝","costume jewelry"
"平房","bungalow"
"住宅楼","residential building"
"拼缝物","patchwork"
"产品设计师","product designer"
"车库","garage"
"胃","Stomach"
"早晨","morning"
"熊服","bear suit"
"地球女神","earth goddess"
"重的","Heavy"
"施舍","alms"
"无形的","invisible"
"曼荼罗","mandala"
"人口爆炸","population explosion"
"太阳系","solar system"
"牛仔外套","denim jacket"
"MP3播放机","MP3 player"
"按摩椅","massage chair"
"不卫生的","unhygienic"
"窥视孔","peephole"
"冰岛马","icelandic horse"
"热裤","hot pants"
"洗礼盘","baptismal font"
"干酪制造","cheese making"
"接骨木果","Elderberry"
"大头菜","Kohlrabi"
"攀冰装备","ice climbing equipment"
"枫叶","maple leaf"
"太阳能","solar energy"
"自然保护区","nature reserve"
"戏剧性的天空","dramatic sky"
"露齿笑","toothy smile"
"证据","evidence"
"动物医院","animal Hospital"
"宠物装备","pet equipment"
"缠结的","tangled"
"缠结","tangled"
"树懒","sloth"
"摇滚乐","rock music"
"自行车信使","bicycle messenger"
"浮式平台","floating platform"
"热带鱼","Tropical Fish"
"热带淡水鱼","tropical freshwater fish"
"水污染","water pollution"
"球形椅","ball chair"
"后门","back door"
"轮机舱","engine room"
"迪斯科灯光","disco lights"
"水样","water sample"
"多媒体","multimedia"
"扫毯器","carpet sweeper"
"长尾鹦鹉","parakeet"
"高中生","high school student"
"19世纪风格","19th century style"
"鱼叉","Harpoon"
"复选标记","check mark"
"棒球运动员","baseball player"
"学生","student"
"学员","student"
"早餐室","breakfast room"
"客轮","passenger ship"
"客船","passenger ship"
"篮球运动员","basketball player"
"邮戳","Postmark"
"头部按摩","head massage"
"杂草修剪器","weed trimmer"
"竖锯","jigsaw"
"抹胸","tube top"
"隔音的","Soundproof"
"凯尔特风格","celtic style"
"四季","four seasons"
"语音拼写","phonetic spelling"
"斯堪的纳维亚文化","Scandinavian culture"
"打蛋器","Egg beater"
"工人阶级","working class"
"中产阶级","middle class"
"上层阶级","upper class"
"上流社会","Upper class"
"裹面包屑","breaded"
"精神疾病","mental illness"
"精神病","mental illness"
"化学课","chemistry class"
"意大利灰猎犬","italian greyhound"
"生物课","Biology class"
"津贴","allowance"
"露天平台","deck"
"甲板","deck"
"电","electricity"
"午休时间","lunch break"
"国防工业","defense industry"
"家畜","livestock"
"牲畜","livestock"
"核能","nuclear energy"
"就寝时间","bedtime"
"政府","government"
"田径运动员","track and field athlete"
"古代文明","Ancient Civilization"
"石油工业","Oil industry"
"宇宙探索","space exploration"
"处罚","punishment"
"邮件","mail"
"邮箱","Mail"
"部落艺术","tribal art"
"吉他手","Guitarist"
"电影工业","film industry"
"时尚","Fashion"
"建筑工人","construction worker"
"人力资源","human Resources"
"武术","martial arts"
"武侠","martial arts"
"人类消化系统","human digestive system"
"学步","toddler"
"大提琴手","cellist"
"车用喇叭","car horn"
"债务","debt"
"消声器","silencer"
"消音器","silencer"
"球门球","goal kick"
"钢琴师","pianist"
"模型飞机","model airplane"
"天文学","astronomy"
"身体保养","body care"
"小提琴手","violinist"
"足球运动员","soccer player"
"法律体系","Legal System"
"椰汁","coconut milk"
"脑风暴","brainstorming"
"官僚","bureaucracy"
"尊敬","Respect"
"反话","Irony"
"夜生活","nightlife"
"普林节","Purim"
"石盐","rock salt"
"餐具柜","Sideboard"
"农业机器","agricultural machinery"
"斑马线","zebra crossing"
"安全检查","Security check"
"手指框","finger frame"
"亚洲梨","asian pear"
"心灵感应","telepathy"
"消化不良","indigestion"
"地址本","address book"
"圣诞日历","advent calendar"
"字母表次序","alphabetical order"
"浴疗法","Balneotherapy"
"运动头盔","sports helmet"
"仅青少年","Teenagers only"
"里面翻到外面","inside out"
"喷漆工人","spray painter"
"磁场","magnetic field"
"万有引力场","gravitational field"
"水泡","blister"
"六出花","alstroemeria"
"美国斯塔福德犬","American Staffordshire Terrier"
"紫水晶","amethyst"
"周年纪念卡","anniversary card"
"电话答录机","answering machine"
"抗生素","antibiotic"
"抗体","Antibody"
"申请表","Application form"
"阿拉伯风格","arabic style"
"逮捕","arrest"
"阁楼","attic"
"遮阳篷","awning"
"婴儿背带","baby carrier"
"婴儿毯","baby blanket"
"婴儿勺","baby spoon"
"凸窗","bay window"
"飘窗","bay window"
"沙滩包","beach bag"
"珠子","bead"
"太空头盔","space helmet"
"联排别墅","Townhouse"
"连栋房屋","townhouse"
"重新造林","reforestation"
"自行车齿轮","bicycle gear"
"自行车架","bicycle rack"
"观鸟","bird watching"
"黑带","black belt"
"血库","blood bank"
"血玛丽酒","Bloody Mary"
"网上交友","online dating"
"系船柱","bollard"
"系缆柱","bollard"
"瓶盖","bottle cap"
"大梵天","Brahma"
"布列塔尼斯班尼犬","Brittany spaniel"
"泡泡浴","bubble bath"
"浮标","buoy"
"工作母亲","working mother"
"墨西哥卷饼","burrito"
"墨西哥玉米煎饼","Burrito"
"淋浴头","shower head"
"公交车票","bus ticket"
"电缆绞车","Cable winch"
"仙人掌果","Cactus fruit"
"方解石","calcite"
"茶花","camellia"
"哈密瓜","cantaloupe"
"汽车销售人员","car salesperson"
"焦糖","caramel"
"心脏病专家","cardiologist"
"鳏夫","widower"
"两腿分开","legs apart"
"玩具贵宾犬","toy poodle"
"穴居人","caveman"
"厘米","centimeter"
"看护助理","nursing assistant"
"飞行风镜","flying goggles"
"战车","chariot"
"检查表","checklist"
"清单","Checklist"
"海关","customs"
"脸颊","cheek"
"乳酪蛋糕","cheesecake"
"鸡胸","chicken breast"
"巧克力蛋糕","chocolate cake"
"杂烩浓汤","Chowder"
"混泥土块","concrete block"
"电影摄影师","cinematographer"
"堵塞","clogged"
"磨咖啡机","coffee grinder"
"廊柱","colonnade"
"巨像","Colossus"
"堆肥","compost"
"集中营","concentration camp"
"冷凝器","condenser"
"会议电话","conference call"
"旋钮","Knob"
"玉米","corn"
"加冕式","coronation"
"修正液","correction fluid"
"瓦楞铁","corrugated iron"
"棉签","Cotton swab"
"牛皮","cowhide"
"黑巧克力","dark chocolate"
"死路标志","dead end sign"
"醒酒器","Decanter"
"放气的","Deflated"
"牙医助手","dental assistant"
"有凹痕的","dented"
"深度标志器","depth marker"
"独桅帆船","dhow"
"糖尿病","diabetes"
"听写","dictation"
"数码相机","digital camera"
"数码摄像机","digital camera"
"陈列柜","display cabinet"
"距离标志","distance sign"
"沟渠","ditch"
"沟","ditch"
"门阶","doorstep"
"塑料容器","plastic container"
"吉他盒","guitar case"
"饮水喷泉","drinking fountain"
"饺子","dumpling"
"粉色头发","pink hair"
"染发剂","hair dye"
"复活节篮","easter basket"
"染红的头发","dyed red hair"
"鸡蛋盒","egg carton"
"电动搅拌器","electric mixer"
"电钢琴","Electric piano"
"小精灵","Elf"
"矮精灵","Elf"
"汇率","exchange rate"
"出口标志","exit sign"
"眼部手术","eye surgery"
"眼球","eyeball"
"面部表情","facial expression"
"面部按摩","facial massage"
"票价","fare"
"纤维","fiber"
"无花果树","FIG tree"
"财务报告","financial report"
"火警","fire alarm"
"柴火","firewood"
"急救包","first aid kit"
"鱼市","fish market"
"钓鱼背心","fishing vest"
"鱼缸","fish tank"
"模仿高领衫","mock turtleneck"
"苹果汁","Apple juice"
"流程图","flow chart"
"花童","flower girl"
"花店","flower shop"
"脚部按摩","foot massage"
"冰柜","Freezer"
"法国斗牛犬","french bulldog"
"法式门","French doors"
"糖衣","icing"
"计算机","computer"
"保险丝盒","Fuse box"
"加仑","gallon"
"鬼","ghost"
"旅行","travel"
"旅游","travel"
"礼券或卡","gift certificate or card"
"银杏","ginkgo"
"动物的巢","animal nest"
"胶浆","Glue"
"胶水","glue"
"山羊乳酪","goat cheese"
"球袋","golf bag"
"高尔夫球包","golf bag"
"水粉画","Gouache"
"生态保护区","ecological reserve"
"粮仓","granary"
"果汁冰糕","Sorbet"
"瓦楞纸板","corrugated cardboard"
"肉汁","gravy"
"曾祖母","great grandmother"
"绿茶","green tea"
"妇科专家","Gynecologist"
"腿筋","Hamstring"
"录音电话机","Dictaphone"
"手工纸","handmade paper"
"精装书","hardcover book"
"短柄斧","hatchet"
"沙画","Sand painting"
"电暖气炉","Electric heater"
"氦气球","helium balloon"
"涨潮","high tide"
"合页","hinge"
"家政课","Home economics class"
"人质","hostage"
"时针","hour hand"
"水翼艇","hydrofoil"
"催眠师","hypnotist"
"冰钓","ice fishing"
"银行帐户","Bank account"
"利率","interest rate"
"碘","iodine"
"障子","shoji"
"茉莉","jasmine"
"失业","unemployment"
"操纵杆","joystick"
"连身服","Jumpsuit"
"连身衣","Jumpsuit"
"连衫裤","jumpsuit"
"古代史","ancient history"
"复古风格","Retro Style"
"发射台","Launch pad"
"POLO衫","POLO shirt"
"滑雪背心","ski vest"
"LED灯","LED light"
"水蛭","leech"
"观测点","Observation point"
"富贵竹","Lucky Bamboo"
"豹纹","leopard print"
"莴苣珊瑚","Lettuce coral"
"萤火虫","firefly"
"线图","line graph"
"小红帽","little Red Riding Hood"
"现金箱","cash box"
"退潮","low tide"
"凸杆扳手","lug wrench"
"肺癌","lung cancer"
"字母磁铁","letter magnet"
"玉兰类","Magnolia"
"麻将","Mahjong"
"迈泰","Mai Tai"
"按摩油","massage oil"
"火柴盒","matchbox"
"肉丸","meatball"
"麦地那区","medina district"
"面粉筛","flour sifter"
"传声器架","Microphone stand"
"冰瀑","Icefall"
"奶壶","milk bottle"
"牛奶瓶","milk bottle"
"摩卡咖啡","Mocha"
"调制解调器","modem"
"冷凝","condensation"
"活动扳手","adjustable wrench"
"摩洛哥文化","Moroccan culture"
"母亲节","Mother's Day"
"斑驳的","mottled"
"大头照","Mug shot"
"万用表","multimeter"
"玫瑰香葡萄","muscat grape"
"蘑菇珊瑚","mushroom coral"
"中殿","nave"
"护颈","neck brace"
"睡帽","nightcap"
"禁止吸烟记号","no smoking sign"
"妇科检查","Gynecological examination"
"油壶","Oil can"
"秋葵","okra"
"鞋印","shoe print"
"耳镜","Otoscope"
"露头","outcrop"
"牛车","Ox cart"
"氧气管","Oxygen tube"
"泰式炒面","Pad Thai"
"颜料盘","paint tray"
"佩斯利花纹","paisley pattern"
"一次性杯子","disposable cup"
"纸碟","paper plate"
"纸娃娃","paper doll"
"纸玩偶","paper doll"
"煤油","kerosene"
"密码","password"
"密码锁","password"
"花生酱","peanut butter"
"行人交叉路标志","pedestrian crossing sign"
"修脚","pedicure"
"剥皮器","Peeler"
"弹丸枪","pellet gun"
"钟摆","pendulum"
"胡椒薄荷","peppermint"
"电话留言","Phone message"
"物理学家","physicist"
"物理学","physics"
"野餐桌","picnic table"
"制服帽","uniform cap"
"活塞","piston"
"火龙果","pitaya"
"皮塔雅","pitaya"
"整形手术","plastic surgery"
"整形外科","plastic surgery"
"整形","plastic surgery"
"自动钢琴","player piano"
"游戏围栏","playpen"
"诗人","poet"
"警徽","police badge"
"女警察","policewoman"
"传统风车","traditional windmill"
"投票所","polling place"
"聚苯乙烯","polystyrene"
"教皇","pope"
"红灯区","red light district"
"舷窗","porthole"
"真实的人","real people"
"糖粉","powdered sugar"
"电力电缆","power cable"
"电源","power supply"
"意大利熏火腿","prosciutto"
"修枝刀","pruning knife"
"哈巴狗","pug"
"巴哥犬","Pug"
"鞍马","pommel horse"
"油灰","putty"
"乳蛋饼","Quiche"
"神经外科","neurosurgery"
"绿鬣蜥","green iguana"
"濒危物种","endangered species"
"边几","Side table"
"挡土墙","retaining wall"
"年糕","rice cake"
"马术头盔","equestrian helmet"
"夜总会歌手","nightclub singer"
"核糖核酸","RNA"
"路障","Roadblock"
"路边","roadside"
"银行经理","bank manager"
"粗毛柯利狗","Rough Collie"
"色拉调料","salad dressing"
"萨摩耶犬","Samoyed"
"生鱼片","Sashimi"
"驾驶考试","driving test"
"暗房","darkroom"
"锯屑","sawdust"
"木屑","sawdust"
"欧洲文化","european culture"
"塑料袋","plastic bag"
"智能卡","smart card"
"屏风门","screen door"
"屏蔽门","screen door"
"第二名","second place"
"安防系统","security system"
"苏打水瓶","soda bottle"
"半导体","semiconductor"
"神学院","Seminary"
"寄送","send"
"发送","send"
"服务铃","service bell"
"湿婆","Shiva"
"鞋油","shoe polish"
"购物清单","shopping list"
"浴帘","shower curtain"
"硅树脂","Silicone"
"金鱼草","Snapdragon"
"校准","calibration"
"土样","soil sample"
"土壤检测仪","soil tester"
"二氧化碳","carbon dioxide"
"纺锤","spindle"
"帆","sail"
"夹板","Splint"
"喷雾瓶","Spray bottle"
"花体","squiggle"
"员工会议","staff meeting"
"种马","Stallion"
"扬声器","speaker"
"草莓油酥脆饼","Strawberry Shortcake"
"果馅奶酥卷","Strudel"
"太阳黑子","sunspot"
"诵读困难","dyslexia"
"跆拳道","Taekwondo"
"胶带","adhesive tape"
"税表","tax form"
"电话卡","phone card"
"长焦镜头","telephoto lens"
"卷须","tendril"
"风水","Feng Shui"
"试管架","Test tube rack"
"旧约","old testament"
"阻力带","resistance band"
"丁字裤","thong"
"大拇指朝下","thumbs down"
"拇指钢琴","thumb piano"
"频率","frequency"
"定时器","timer"
"踮着脚尖","tiptoe"
"钛","titanium"
"宽外袍","toga"
"卫生纸","toilet paper"
"代币","Token"
"番茄汁","tomato juice"
"工具带","tool belt"
"黄玉","topaz"
"防放射服","radiation protection suit"
"玩具卡车","toy truck"
"晶体管","transistor"
"树屋","tree house"
"尤克里里琴","ukulele"
"独角兽","unicorn"
"素汉堡","Veggie Burger"
"网络摄像头","webcam"
"毗湿奴","Vishnu"
"呕吐物","vomit"
"吐","vomit"
"壁纸刷","wallpaper brush"
"水瓶","Water bottle"
"水上出租车","water taxi"
"结婚誓词","wedding vows"
"轮椅坡道","wheelchair ramp"
"举白旗","Raise the white flag"
"品酒","wine tasting"
"风档刮水器","windshield wiper"
"夹钳","clamp"
"钳夹","clamp"
"腕带","wristband"
"之字形","zigzag"
"忍者","ninja"
"外包","outsourcing"
"花花公子","playboy"
"随机存取存储器","random access memory"
"说唱","rap"
"特种部队","special forces"
"茶话会","tea party"
"别墅","villa"
"山庄","Villa"
"去角质","exfoliation"
"烤炉","oven"
"氮","nitrogen"
"炸鱼薯条","fish and chips"
"退休金","pension"
"养老金","pension"
"岔路口","fork in the road"
"叉路口","fork in the road"
"聚酯","polyester"
"聚氯乙稀","PVC"
"人造的","Artificial"
"人造","artificial"
"玻璃砖","glass brick"
"床头板","Headboard"
"莫吉托","Mojito"
"月光","moonlight"
"沙滩垫","beach mat"
"攀石","bouldering"
"性别不明","Unknown gender"
"白米","white rice"
"铸件","casting"
"维修车间","Repair shop"
"泳池边","Poolside"
"多米诺效应","domino effect"
"责任","responsibility"
"风管","air duct"
"单腿站着","standing on one leg"
"双下巴","double chin"
"土耳其软糖","turkish delight"
"烤三明治","toasted sandwich"
"停止手势","stop gesture"
"垃圾桶","garbage can"
"头发长度","hair length"
"地图学","Cartography"
"女性特质","femininity"
"第三眼","third eye"
"烘焙","baking"
"长度","length"
"侏罗纪","Jurassic"
"冰球棒","hockey stick"
"曲棍球棒","hockey stick"
"心理健康","mental health"
"背包客","backpacker"
"绿茶冰淇淋","green tea ice cream"
"医学注射剂","medical injection"
"西门塔尔牛","Simmental cattle"
"白雪公主","snow White"
"指甲剪","Nail scissors"
"玩具狗","toy dog"
"采果器","fruit picker"
"定场镜头","establishing shot"
"工业劳动者","industrial laborer"
"蒙古文化","Mongolian culture"
"音乐节","music Festival"
"幕后","behind the scenes"
"林荫路","boulevard"
"林荫大道","Boulevard"
"父亲节","Father's Day"
"一月","January"
"星期一","Monday"
"机动车","motor vehicle"
"北半球","Northern Hemisphere"
"病理学家","pathologist"
"警犬","police dog"
"星期六","Saturday"
"指压","Shiatsu"
"不平坦的","uneven"
"学校体育馆","school gymnasium"
"高踢腿","high kick"
"锁骨","clavicle"
"皮肤病学","Dermatology"
"地球村","global village"
"葡萄糖","glucose"
"草本园","Herb Garden"
"鳞翅类","Lepidoptera"
"皮条客","pimp"
"圆花窗","rose window"
"喷沙器","Sandblaster"
"无私的","selfless"
"性教育","sex education"
"背带","strap"
"减法","Subtraction"
"三色","Tricolor"
"无线技术","wireless technology"
"台式地球仪","desktop globe"
"氨纶","spandex"
"医疗用品","medical supplies"
"吹叶机","leaf blower"
"墙纸剥离器","wallpaper stripper"
"铅笔盒","pencil case"
"打桩机","pile driver"
"办公园区","office park"
"数字12","Number 12"
"数字20","Number 20"
"古典乐","classical music"
"现代艺术","modern Art"
"老港","old port"
"设备屏幕","device screen"
"石榴树","pomegranate tree"
"坏消息","bad news"
"无袖上装","Sleeveless top"
"晒黑线","tan line"
"性别刻板印象","gender stereotypes"
"蔷薇科","Rosaceae"
"蝶形花","butterfly flower"
"醉蝶花","Butterfly flower"
"莎草","sedge"
"卡罗部落","Karo tribe"
"厨房水槽","kitchen sink"
"杂碎","Offal"
"牛市","bull market"
"熊市","bear market"
"台灯","desk lamp"
"网页","Web page"
"音频存储介质","audio storage media"
"粘的","Sticky"
"白色背景","White background"
"扳手","wrench"
"扳钳","Wrench"
"医疗保险","medical insurance"
"英格兰斗牛犬","english bulldog"
"草莓地","Strawberry field"
"V领","V-neck"
"同辈人的压力","peer pressure"
"卡车","truck"
"仅儿童","children only"
"碎玻璃","shattered glass"
"太空船","spaceship"
"情感系列","Emotional series"
"热霾","heat haze"
"刹车","brake"
"汽油","gasoline"
"Khafre","Khafre"
"管子","tube"
"记步器","pedometer"
"日式校服","Japanese school uniform"
"数字40","Number 40"
"数字25","Number 25"
"数字50","Number 50"
"小桶","keg"
"马黛茶","Yerba Mate"
"2004","2004"
"编篮子","Basket weaving"
"香橼","citron"
"纸船","paper boat"
"社会工作者","social worker"
"石英","quartz"
"酸味","sour taste"
"黄杨木","boxwood"
"花序","inflorescence"
"松科","Pinaceae"
"层合塑料","Laminated plastic"
"千克","kilogram"
"社区菜园","community garden"
"USB线","USB cable"
"阑尾","appendix"
"支气管炎","bronchitis"
"粘液囊炎","Bursitis"
"角膜","cornea"
"冠状动脉","coronary artery"
"糖尿病视网膜病","diabetic retinopathy"
"勃起功能障碍","erectile dysfunction"
"心脏病","heart disease"
"炎症","inflammation"
"韧带","ligament"
"心肌层","myocardium"
"十字韧带","cruciate ligament"
"前列腺癌","prostate cancer"
"前列腺炎","prostatitis"
"牛皮廯","Psoriasis"
"风湿病","Rheumatism"
"鼻窦炎","sinusitis"
"尺骨","ulna"
"泌尿系统","urinary system"
"泌尿道感染","urinary tract infection"
"牌桌","card table"
"阿拉伯联合酋长国国旗","united arab emirates flag"
"生物学过程","biological process"
"蛋白质","protein"
"髌骨","patella"
"药丸","pill"
"尿液","urine"
"陈列室","showroom"
"行李","luggage"
"德式香肠","bratwurst"
"日本柏树","japanese cypress"
"翻盖手机","Flip phone"
"肉牛","beef cattle"
"家牛","Domestic cattle"
"Hintertux Glacier","Hintertux Glacier"
"寻找复活节彩蛋","Easter egg hunt"
"芝麻菜","arugula"
"法国熏衣草","French lavender"
"夹竹桃","Oleander"
"17世纪风格","17th century style"
"18世纪风格","18th century style"
"糕点师","Confectioner"
"黑色背景","black background"
"西瓜汁","watermelon juice"
"有色太阳镜","tinted sunglasses"
"开领","Open collar"
"柠檬苏打水","lemon soda"
"检验栏","checkbox"
"耳饰","earring"
"耳坠","earring"
"品酒师","sommelier"
"手提收音机","portable radio"
"颈枕","neck pillow"
"梦想的工作","dream job"
"套筒扳手","socket wrench"
"市场广场","market square"
"圣诞蛋糕","Christmas cake"
"双人床","double bed"
"漂白的头发","bleached hair"
"欧洲山毛榉","european beech"
"火坑","fire pit"
"月饼","moon cake"
"太妃糖","toffee"
"土耳其美食","turkish food"
"空心菜","water spinach"
"电热水壶","electric kettle"
"仅成年人","Adults only"
"挎包","Shoulder bag"
"抱着膝盖","hugging knees"
"脸朝下","face down"
"黑手党","mafia"
"漱口水","Mouthwash"
"侧卧","Lying on side"
"烘手机","Hand dryer"
"动物学","zoology"
"经济舱","Economy class"
"空气阀","air valve"
"滑雪夹克","ski jacket"
"品红色","magenta"
"口臭","Bad breath"
"奥黛","Ao Dai"
"出价","bid"
"恐怖主义","terrorism"
"荣誉","honor"
"水烟袋","Hookah"
"中式衣领","Chinese collar"
"风筝滑水板","kiteboard"
"危地马拉文化","Guatemalan Culture"
"纸灯笼","paper lantern"
"木薯","Cassava"
"单一栽培","monoculture"
"可调","Adjustable"
"商业房地产","commercial real estate"
"石墨","graphite"
"柠檬花","lemon blossom"
"药盒","pill box"
"分药盒","pill box"
"斑马纹","zebra print"
"仙女服","fairy costume"
"硬木","hardwood"
"皂液器","soap dispenser"
"宗教象征","religious symbol"
"肉毒毒素注射","Botulinum toxin injection"
"指纹扫描仪","fingerprint scanner"
"胃灼热","Heartburn"
"离水之鱼","fish out of water"
"政党","political party"
"张开翅膀","spread wings"
"Bayahibe","Bayahibe"
"耶稣受难日","good friday"
"欧洲落叶松","European larch"
"四月","April"
"十二月","December"
"二月","February"
"插图画家","illustrator"
"七月","July"
"宗教圣徒","religious saint"
"陌生人","stranger"
"项目管理","project management"
"十月","October"
"旗袍","cheongsam"
"眼镜蛇式","cobra pose"
"毛豆","Edamame"
"便利店","convenience store"
"冰架","ice shelf"
"芥末酱","wasabi"
"咖啡滤纸","coffee filter"
"道场","dojo"
"巴厘岛文化","Balinese culture"
"空的路","empty road"
"棘冠","crown of thorns"
"银盘","silver platter"
"贩毒","drug trafficking"
"意大利冰淇淋","gelato"
"夏威夷披萨","hawaiian pizza"
"布洛芬","Ibuprofen"
"中幅相机","medium format camera"
"安全码","security code"
"狙击手","sniper"
"海上安全设备","Marine safety equipment"
"黄麻","jute"
"新生儿重症监护室","neonatal intensive care unit"
"药膏","ointment"
"后脑勺","back of head"
"档案文件","Archives"
"鸵鸟羽毛","ostrich feather"
"越野行走","Nordic walking"
"无边女帽","toque"
"生物识别","Biometrics"
"语音识别","Speech Recognition"
"滑翔","gliding"
"公共图书馆","public Library"
"歹徒","Gangster"
"传感器","sensor"
"水泥地","cement floor"
"混凝土墙","concrete wall"
"脓肿","abscess"
"贫血症","anemia"
"睡眠呼吸暂停","sleep apnea"
"卷烟过滤嘴","cigarette filter"
"结膜炎","conjunctivitis"
"新冠病毒","coronavirus"
"头屑","Dandruff"
"痴呆症","Dementia"
"皮炎","dermatitis"
"腹泻","diarrhea"
"浮肿","edema"
"肠胃炎","Gastroenteritis"
"两性体","hermaphrodite"
"异染色质","heterochromatin"
"免疫系统","immune system"
"免疫学","Immunology"
"乳糖发酵","lactose fermentation"
"黑色素","melanin"
"间皮瘤","Mesothelioma"
"形态学","morphology"
"闭塞","Occlusion"
"肺炎","pneumonia"
"逆转录酶病毒","retrovirus"
"硬化症","Sclerosis"
"严重急性呼吸综合征","severe acute respiratory syndrome"
"睾丸激素","Testosterone"
"破伤风","tetanus"
"扁桃腺炎","Tonsillitis"
"鉴赏家","connoisseur"
"视觉缺陷","visual impairment"
"走开","go away"
"海滩遮阳伞","beach umbrella"
"日式茶杯","Japanese tea cup"
"眼部扫描仪","eye scanner"
"扶手","armrest"
"亚兰达机场","Arlanda Airport"
"后袋","back pocket"
"交叉训练","cross training"
"山路","mountain road"
"偶蹄目","Artiodactyla"
"九月","September"
"传染病","infectious disease"
"硬糖","hard candy"
"摩拉维亚星","moravian star"
"排灯节","diwali"
"宝莱坞","Bollywood"
"石莲花","Echeveria"
"时尚工业","fashion industry"
"Backcombed","Backcombed"
"游泳短裤","swimming shorts"
"渔网","fishing net"
"鱼网","fishing net"
"高中学校建筑","high school building"
"徒手攀登","free climbing"
"黑色电影风格","film noir style"
"湿发","wet hair"
"夜市","night market"
"新西兰文化","new zealand culture"
"室友","roommate"
"派对主人","party host"
"抽脂术","liposuction"
"行李架","luggage rack"
"野餐毯","picnic blanket"
"沙滩排球","Beach Volleyball"
"急救","first aid"
"疟疾","malaria"
"扣","buckle"
"扣环","buckle"
"时装周","fashion Week"
"辣酱","hot sauce"
"立式钢琴","upright piano"
"工蜂","worker bee"
"回水","Backwater"
"Seljalandsfoss Waterfall","Seljalandsfoss Waterfall"
"钢缆","steel cable"
"交通箭头标志","traffic arrow sign"
"Fjallabak Nature Reserve","Fjallabak Nature Reserve"
"Rhone Glacier","Rhone Glacier"
"亚克力玻璃","acrylic glass"
"试听","audition"
"八月","August"
"手置胸前","hands on chest"
"牧羊场","sheep farm"
"氦","helium"
"轮状病毒","rotavirus"
"请柬","invitation"
"塑料火烈鸟","plastic flamingo"
"化妆棉","cotton pad"
"榴莲","durian"
"创立者","founder"
"褐色背景","brown background"
"第一份工作","first job"
"皇家蓝","Royal blue"
"蛇蝎美人","femme fatale"
"甘托克","gangtok"
"新月式","Crescent"
"新月形","Crescent"
"狗碗","dog bowl"
"南瓜地","pumpkin patch"
"生理盐水","saline"
"低碳水化合物饮食","low carb diet"
"婴儿监听器","baby monitor"
"电子监听装置","electronic listening device"
"男护士","male nurse"
"红笛鲷","red snapper"
"岩床","bedrock"
"斋月","Ramadan"
"雅皮士","yuppie"
"易燃品","Flammable"
"面包刀","bread knife"
"一家人在家","family at home"
"普拉提机","Pilates machine"
"计时赛","time trial"
"裁纸器","paper cutter"
"汽车产业","Automobile industry"
"鞋盒","shoe box"
"变形链球菌","Streptococcus mutans"
"草编包","Straw bag"
"器官捐献","organ donation"
"硬珊瑚","hard coral"
"腺病毒","Adenovirus"
"铂","platinum"
"白金","platinum"
"唇刷","lip brush"
"自鸣得意的","smug"
"碗碟架","dish rack"
"气象学","Meteorology"
"宠物床","pet bed"
"厨房岛台","kitchen island"
"衬衫","shirt"
"脱发","hair loss"
"印度货币","indian currency"
"候车亭","bus shelter"
"间隔年","Gap year"
